hostname,gaia_id,default_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rowupdate,pl_pubdate;
BD+48 740,Gaia DR2 438444868763388800,1,4534.00,8.00,-8.00,0,-0.130,0.060,-0.060,0,[Fe/H],2.48,0.04,-0.04,0,0.7000,2.2000,-2.2000,0,746.00,2477.00,-2477.00,0,-45.93,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-02-01,2018-05;
BD+49 828,Gaia DR2 439327501725338752,1,4943.00,30.00,-30.00,0,-0.190,0.060,-0.060,0,[Fe/H],2.85,0.09,-0.09,0,1.7000,0.8000,-0.8000,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2015-02-05,2015-04;
BD+55 362,Gaia DR2 412783469966211456,1,5012.00,78.00,-78.00,0,0.180,0.050,-0.050,0,[Fe/H],4.09,0.16,-0.16,0,2.0000,1.0000,-1.0000,0,,,,,-25.65,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-05-28,2021-07;
BD+60 1417,Gaia DR2 1579929906250111232,1,4993.00,124.00,-124.00,0,,,,,,4.55,,,0,11.0000,3.0000,-3.0000,0,7.50,0.86,-0.86,0,-10.15,0.24,-0.24,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2022-01-10,2021-12;
BD+63 1405,Gaia DR2 2160951157908163968,1,5000.00,53.00,-53.00,0,-0.090,0.030,-0.030,0,[Fe/H],4.20,0.17,-0.17,0,2.1000,1.0000,-1.0000,0,,,,,-15.33,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-05-28,2021-07;
BD-00 4475,Gaia DR2 2651390587219807744,1,5040.00,112.00,-112.00,0,-0.140,0.060,-0.060,0,[Fe/H],4.25,0.22,-0.22,0,3.0000,1.0000,-1.0000,0,,,,,23.58,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-05-28,2021-07;
BD-06 1339,Gaia DR2 3022099969137163904,1,4324.00,100.00,-100.00,0,-0.140,0.170,-0.170,0,[Fe/H],4.74,0.02,-0.02,0,0.5700,,,0,,,,,23.62,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-03;
BD-06 1339,Gaia DR2 3022099969137163904,1,4324.00,100.00,-100.00,0,-0.140,0.170,-0.170,0,[Fe/H],4.74,0.02,-0.02,0,0.5700,,,0,,,,,23.62,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2013-03;
BD-08 2823,Gaia DR2 3770419611540574080,1,4816.00,114.00,-114.00,0,-0.060,,,0,[Fe/H],4.43,0.22,-0.22,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
BD-08 2823,Gaia DR2 3770419611540574080,1,4746.00,63.00,-63.00,0,-0.070,0.030,-0.030,0,[Fe/H],4.13,0.26,-0.26,0,1.4000,,,0,,,,,53.34,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2014-05-14,2010-03;
BD-10 3166,Gaia DR2 3758629479636689536,1,5393.00,44.00,-44.00,0,0.380,,,0,[Fe/H],4.69,0.06,-0.06,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
BD-11 4672,Gaia DR2 4154598526336121600,1,4550.00,110.00,-110.00,0,-0.350,0.150,-0.150,0,[Fe/H],4.64,0.03,-0.03,0,1.0000,0.5000,-0.5000,0,25.00,,,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-07-17,2020-09;
BD-11 4672,Gaia DR2 4154598526336121600,1,4550.00,110.00,-110.00,0,-0.350,0.150,-0.150,0,[Fe/H],4.64,0.03,-0.03,0,1.0000,0.5000,-0.5000,0,25.00,,,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2020-07-17,2020-09;
BD-13 2130,Gaia DR2 3030262468592291072,1,4545.00,71.00,-71.00,0,-0.080,,,0,[Fe/H],2.20,0.20,-0.20,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2018-09-04,2017-03;
BD-17 63,Gaia DR2 2367734656180397952,1,4714.00,93.00,-93.00,0,-0.030,0.060,-0.060,0,[Fe/H],4.26,0.24,-0.24,0,1.5000,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2019-09-04,2009-03;
CD Cet,Gaia DR2 3179036008830848,1,3130.00,51.00,-51.00,0,0.130,0.160,-0.160,0,[Fe/H],4.93,0.04,-0.04,0,2.0000,,,1,126.20,,,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2021-11-02,2020-08;
CFBDSIR J145829+101343,,1,580.50,24.50,-24.50,0,,,,,,4.72,0.28,-0.28,0,,,,,,,,,,,,,<a refstr=DELORME_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...484..469D/abstract target=ref> Delorme et al. 2008 </a>,2014-05-14,2011-10;
